ageEstimate,companyFollowerCount,companyName,companyStaffCount,connectionsCount,followersCount,genderEstimate,hasPicture,isPremium,posTitle,avgMemberPosDuration
42.0,4385293.0,IBM,568533.0,500.0,15286.0,0.0,1,0.0,Recruitment Business Partner,673.3571
42.0,380980.0,NetApp,11689.0,500.0,15286.0,0.0,1,0.0,EMEA Talent Lead,673.3571
42.0,3081546.0,NestlÃ©,160863.0,500.0,15286.0,0.0,1,0.0,Talent Services Lead,673.3571
42.0,1273365.0,Novartis,121437.0,500.0,15286.0,0.0,1,0.0,Talent Lead,673.3571
42.0,97135.0,Ciber Global,4564.0,500.0,15286.0,0.0,1,0.0,EMEA Talent Lead,673.3571
42.0,1190501.0,GSK,91629.0,500.0,15286.0,0.0,1,0.0,UK Talent Lead,673.3571
42.0,1189220.0,SAP,118819.0,500.0,15286.0,0.0,1,0.0,Recruitment Lead,673.3571
42.0,25021.0,HCL AXON,3059.0,500.0,15286.0,0.0,1,0.0,Key Account Manager,673.3571
42.0,9983.0,RZ Group,140.0,500.0,15286.0,0.0,1,0.0,Senior Account Manager,673.3571
42.0,5906.0,Creative Personnel,55.0,500.0,15286.0,0.0,1,0.0,Recruitment Consultant,673.3571
48.0,98763.0,Deloitte Australia,6533.0,500.0,4247.0,0.0,1,1.0,Partner | Consulting | Future of Government,1052.9
48.0,13694.0,Grant Thornton Australia,1255.0,500.0,4247.0,0.0,1,1.0,Partner | Growth Advisory,1052.9
48.0,13694.0,Grant Thornton Australia,1255.0,500.0,4247.0,0.0,1,1.0,Director | Consulting,1052.9
48.0,1660685.0,PwC,235683.0,500.0,4247.0,0.0,1,1.0,Management Consultant | People & Change,1052.9
48.0,151686.0,National Australia Bank,27944.0,500.0,4247.0,0.0,1,1.0,Business Partner | People & Culture,1052.9
48.0,31923.0,King & Wood Mallesons,3494.0,500.0,4247.0,0.0,1,1.0,Group Manager | People & Development,1052.9
48.0,198859.0,Commonwealth Bank,32905.0,500.0,4247.0,0.0,1,1.0,Manager | People & Change,1052.9
48.0,795604.0,KPMG,180604.0,500.0,4247.0,0.0,1,1.0,Senior Consultant | People & Development,1052.9
48.0,6004.0,Cuscal Limited,425.0,500.0,4247.0,0.0,1,1.0,Senior Consultant | Talent & Leadership,1052.9
48.0,31594.0,Manpower UK,803.0,500.0,4247.0,0.0,1,1.0,Consultant | Talent Aquisition,1052.9
51.0,91391.0,Victoria University,3653.0,500.0,7908.0,0.0,1,0.0,Research Leader (Sport) and Professorial Research Fellow,1039.2857
51.0,5293.0,Exercise & Sports Science Australia (ESSA),62.0,500.0,7908.0,0.0,1,0.0,Director (Sport Science),1039.2857
51.0,9038.0,University of Verona,1602.0,500.0,7908.0,0.0,1,0.0,Associate Professor,1039.2857
51.0,5293.0,Exercise & Sports Science Australia (ESSA),62.0,500.0,7908.0,0.0,1,0.0,President,1039.2857
51.0,104370.0,The University of Western Australia,5551.0,500.0,7908.0,0.0,1,0.0,Senior Lecturer,1039.2857
51.0,64404.0,Universidade Federal de Pernambuco,5070.0,500.0,7908.0,0.0,1,0.0,Special Visiting Professor,1039.2857
29.0,744.0,Hunter Valley Coal Chain Coordinator,54.0,222.0,221.0,0.0,1,0.0,Modelling Lead,1229.8
29.0,88257.0,University of Newcastle,4671.0,222.0,221.0,0.0,1,0.0,Member of Industry Advisory Board for Computer Science and Software Engineering,1229.8
29.0,744.0,Hunter Valley Coal Chain Coordinator,54.0,222.0,221.0,0.0,1,0.0,Specialist Capacity and Operations Research,1229.8
29.0,744.0,Hunter Valley Coal Chain Coordinator,54.0,222.0,221.0,0.0,1,0.0,Strategic Modeller,1229.8
29.0,8150.0,Gilbert + Tobin,716.0,222.0,221.0,0.0,1,0.0,Litigation Support Manager,1229.8
29.0,1178748.0,JPMorgan Chase & Co.,258692.0,222.0,221.0,0.0,1,0.0,Network Administrator,1229.8
29.0,744.0,Hunter Valley Coal Chain Coordinator,54.0,222.0,221.0,0.0,1,0.0,Strategic Planning Lead,1229.8
24.0,253116.0,Groupon,12224.0,500.0,1018.0,,1,0.0,NSW Business Development Manager,704.5
24.0,250752.0,Universal Music Group,7521.0,500.0,1018.0,,1,0.0,Bravado Merchandise Sales Executive (National Sales Manager),704.5
50.0,14.0,Karen David International,2.0,500.0,995.0,0.0,1,0.0,Affiliate for The Salon Success Club,851.5
22.0,85260.0,General Assembly,2901.0,136.0,137.0,0.0,1,0.0,Software Engineer,92.0
37.0,13683.0,ASG Group,4322.0,371.0,372.0,0.0,1,0.0,Pega Senior System Architect,833.0
37.0,6842.0,Dialog Information Technology,1168.0,371.0,372.0,0.0,1,0.0,FileNet Consultant,833.0
37.0,910615.0,HCL Technologies,140424.0,371.0,372.0,0.0,1,0.0,Lead Engineer ( FileNet),833.0
37.0,758.0,Guerrilla,32.0,70.0,70.0,0.0,1,0.0,Lead Software Engineer,1522.0
37.0,758.0,Guerrilla,32.0,70.0,70.0,0.0,1,0.0,.NET Developer,1522.0
28.0,1361.0,Biarri,40.0,359.0,358.0,0.0,1,1.0,Optimisation Consultant,440.75
28.0,814.0,Console Connect,8.0,359.0,358.0,0.0,1,1.0,Senior Software Engineer,440.75
28.0,814.0,Console Connect,8.0,359.0,358.0,0.0,1,1.0,Software Engineer,440.75
28.0,7435.0,NEXTDC,190.0,359.0,358.0,0.0,1,1.0,Software Engineer,440.75
28.0,181090.0,The University of Queensland,10735.0,359.0,358.0,0.0,1,1.0,Software Developer,440.75
28.0,181090.0,The University of Queensland,10735.0,359.0,358.0,0.0,1,1.0,Tutor,440.75
28.0,181090.0,The University of Queensland,10735.0,359.0,358.0,0.0,1,1.0,Tutor,440.75
28.0,181090.0,The University of Queensland,10735.0,359.0,358.0,0.0,1,1.0,Tutor,440.75
28.0,908.0,GEON print & communications solutions,113.0,359.0,358.0,0.0,1,1.0,Pre-Press Operator,440.75
28.0,,Twyla AI,,359.0,358.0,0.0,1,1.0,Principal Software Engineer,440.75
44.0,105.0,Enriched Health Care,9.0,255.0,255.0,0.0,1,0.0,Physiotherapist,917.8571
44.0,25.0,Burgess Hill Physiotherapy,1.0,255.0,255.0,0.0,1,0.0,Practice Principal,917.8571
43.0,715.0,Softlink,105.0,477.0,486.0,0.0,1,0.0,Education Consultant,867.0
43.0,21556.0,"Department of Education & Training, Victoria",11513.0,477.0,486.0,0.0,1,0.0,Training & Support Officer,867.0
43.0,3834.0,"Department of Health, Victoria - now Department of Health & Human Services, Victoria",537.0,477.0,486.0,0.0,1,0.0,Information Support Officer,867.0
43.0,51.0,Datalink Internet Systems Pty Ltd,7.0,477.0,486.0,0.0,1,0.0,Marketing and Communications Officer,867.0
43.0,51.0,Datalink Internet Systems Pty Ltd,7.0,477.0,486.0,0.0,1,0.0,Market Engagement Manager,867.0
43.0,51.0,Datalink Internet Systems Pty Ltd,7.0,477.0,486.0,0.0,1,0.0,Sales and Marketing Manager,867.0
43.0,51.0,Datalink Internet Systems Pty Ltd,7.0,477.0,486.0,0.0,1,0.0,Professional Services Manager,867.0
43.0,51.0,Datalink Internet Systems Pty Ltd,7.0,477.0,486.0,0.0,1,0.0,Business Consultant,867.0
43.0,110.0,Strathfield Group,9.0,477.0,486.0,0.0,1,0.0,Sales Executive,867.0
43.0,148934.0,Griffith University,8026.0,477.0,486.0,0.0,1,0.0,Research Assistant,867.0
49.0,48.0,Prodonovich Advisory,7.0,500.0,8115.0,,1,0.0,Principal,1204.1429
49.0,992.0,Meritas Law Firms Worldwide,33.0,500.0,8115.0,,1,0.0,Australia & New Zealand Regional Director,1204.1429
49.0,48.0,Prodonovich Advisory,7.0,500.0,8115.0,,1,0.0,Co-Creator Practice Reboot,1204.1429
49.0,35.0,FMRC,5.0,500.0,8115.0,,1,0.0,Teaching Faculty - Legal Practice Management Course + Business Development For Lawyers Course,1204.1429
49.0,202.0,Legal Sales and Service Organization,5.0,500.0,8115.0,,1,0.0,Member of the Editorial Board,1204.1429
49.0,5715.0,The College of Law Australia,257.0,500.0,8115.0,,1,0.0,Teaching Faculty - Practice Management Courses,1204.1429
49.0,9235.0,Lawyers Weekly,8.0,500.0,8115.0,,1,0.0,Judge - Corporate Counsel Awards,1204.1429
49.0,9235.0,Lawyers Weekly,8.0,500.0,8115.0,,1,0.0,Judge - Australian Law Awards 2016,1204.1429
49.0,10358.0,The Law Society of New South Wales,222.0,500.0,8115.0,,1,0.0,Contributor: Developing & Facilitating course content,1204.1429
49.0,12.0,Practice Builders,1.0,500.0,8115.0,,1,0.0,Director,1204.1429
49.0,8306.0,Crowe Horwath Australia,1168.0,500.0,8115.0,,1,0.0,Partner,1204.1429
49.0,1001.0,ICON APAC,48.0,500.0,8115.0,,1,0.0,Member of the Board; Member of NSW State Commitee,1204.1429
49.0,5387.0,"rogenSi is now TeleTech Consulting, Learning & Performance",145.0,500.0,8115.0,,1,0.0,Senior Consultant,1204.1429
49.0,137421.0,Baker McKenzie,10851.0,500.0,8115.0,,1,0.0,Director of Business Development & Marketing,1204.1429
49.0,1972.0,Arthur Andersen & Co.,24.0,500.0,8115.0,,1,0.0,Director of Marketing,1204.1429
49.0,5923.0,United International Pictures,310.0,500.0,8115.0,,1,0.0,Publicist,1204.1429
49.0,15613.0,Village Roadshow,627.0,500.0,8115.0,,1,0.0,Publicist,1204.1429
49.0,12056.0,Law Institute of Victoria,419.0,500.0,8115.0,,1,0.0,Teaching Faculty - Business Development & Marketing ,1204.1429
49.0,9235.0,Lawyers Weekly,8.0,500.0,8115.0,,1,0.0,Member of the Judging Panel: 2019 Corporate Counsel Awards,1204.1429
49.0,9235.0,Lawyers Weekly,8.0,500.0,8115.0,,1,0.0,Member of the Judging Panel : 2018 Women In Law Awards,1204.1429
49.0,9235.0,Lawyers Weekly,8.0,500.0,8115.0,,1,0.0,Member of Judging Panel: 2018 Australian Law Awards,1204.1429
32.0,7780.0,ACCC,706.0,211.0,209.0,0.0,1,0.0,Assistant Director,383.6
32.0,8782.0,Department of Communications and the Arts,373.0,211.0,209.0,0.0,1,0.0,Assistant Director,383.6
32.0,1977.0,Australian Chamber of Commerce and Industry,44.0,211.0,209.0,0.0,1,0.0,Economic Policy Advisor,383.6
32.0,13335.0,"Department of Industry, Innovation and Science",1447.0,211.0,209.0,0.0,1,0.0,Economic Analyst,383.6
32.0,10738.0,Australian Renewable Energy Agency (ARENA),97.0,211.0,209.0,0.0,1,0.0,Business Development,383.6
32.0,10738.0,Australian Renewable Energy Agency (ARENA),97.0,211.0,209.0,0.0,1,0.0,Client Manager,383.6
32.0,15654.0,Australian Department of Health,2099.0,211.0,209.0,0.0,1,0.0,Graduate,383.6
36.0,76.0,Community Legal Centres Queensland,8.0,500.0,2233.0,0.0,1,0.0,Director (CEO),996.0
36.0,159999.0,Deakin University,7646.0,500.0,2233.0,0.0,1,0.0,Lecturer,996.0
36.0,3510.0,Justice Connect,119.0,500.0,2233.0,0.0,1,0.0,Manager/Principal Lawyer,996.0
36.0,12433.0,Corrs Chambers Westgarth,1089.0,500.0,2233.0,0.0,1,0.0,Lawyer,996.0
36.0,159999.0,Deakin University,7646.0,500.0,2233.0,0.0,1,0.0,Casual lecturer/Tutor,996.0
36.0,,Westerntel,,500.0,2233.0,0.0,1,0.0,Group Accountant,996.0
49.0,91391.0,Victoria University,3653.0,500.0,0.0,1.0,0,0.0,"Lecturer and Researcher, Moondani Balluk Academic Unit",1177.8235
49.0,91391.0,Victoria University,3653.0,500.0,0.0,1.0,0,0.0,Curriculum Developer,1177.8235
49.0,263880.0,University of Melbourne,13415.0,500.0,0.0,1.0,0,0.0,Research Assistant,1177.8235
49.0,32722.0,Target Australia,2377.0,500.0,0.0,1.0,0,0.0,Community and Sustainability Manager,1177.8235
49.0,32722.0,Target Australia,2377.0,500.0,0.0,1.0,0,0.0,Indigenous Affairs Manager,1177.8235
49.0,37.0,3KND/SEIMA,6.0,500.0,0.0,1.0,0,0.0,"Co-host, ARTSUP!",1177.8235
49.0,6283.0,Essendon Football Club,207.0,500.0,0.0,1.0,0,0.0,"General Manager, The Long Walk",1177.8235
49.0,36974.0,City of Melbourne,1714.0,500.0,0.0,1.0,0,0.0,"Chair, Indigenous Arts Advisory Panel",1177.8235
49.0,36974.0,City of Melbourne,1714.0,500.0,0.0,1.0,0,0.0,"Member, Indigenous Arts Advisory Panel",1177.8235
49.0,6283.0,Essendon Football Club,207.0,500.0,0.0,1.0,0,0.0,"Project Manager, The Long Walk",1177.8235
49.0,36974.0,City of Melbourne,1714.0,500.0,0.0,1.0,0,0.0,Nicholls Memorial Project,1177.8235
49.0,2995.0,City of Port Phillip,592.0,500.0,0.0,1.0,0,0.0,Indigenous Arts Officer,1177.8235
49.0,3942.0,Melbourne International Arts Festival,40.0,500.0,0.0,1.0,0,0.0,Company Coordinator,1177.8235
49.0,263880.0,University of Melbourne,13415.0,500.0,0.0,1.0,0,0.0,Student Liaison Officer,1177.8235
63.0,49219.0,SMEC,4981.0,500.0,528.0,0.0,1,0.0,"Technical Principal, Structures",1508.4444
47.0,368.0,Vee Design,30.0,500.0,1191.0,0.0,1,0.0,Director,1040.3333
47.0,1733.0,Australian Institute of Landscape Architects (AILA),38.0,500.0,1191.0,0.0,1,0.0,National Board Member,1040.3333
47.0,1733.0,Australian Institute of Landscape Architects (AILA),38.0,500.0,1191.0,0.0,1,0.0,Queensland President,1040.3333
47.0,1733.0,Australian Institute of Landscape Architects (AILA),38.0,500.0,1191.0,0.0,1,0.0,Queensland Vice President,1040.3333
47.0,3290.0,EDAW,309.0,500.0,1191.0,0.0,1,0.0,Practice Director,1040.3333
47.0,52326.0,HASSELL,882.0,500.0,1191.0,0.0,1,0.0,Associate Landscape Architect,1040.3333
46.0,46741.0,University of Canberra,1895.0,500.0,872.0,1.0,1,0.0,"Foundation Chair, Urban and Regional Planning",1218.5
49.0,28.0,Vatis Consulting,2.0,500.0,570.0,1.0,1,0.0,Principal Consultant and Director,1491.0
49.0,6741.0,DXC Red Rock,498.0,500.0,570.0,1.0,1,0.0,Principal Applications Consultant,1491.0
49.0,20928.0,Boral,2073.0,500.0,570.0,1.0,1,0.0,Oracle Support Analyst,1491.0
49.0,1026133.0,Vodafone,142211.0,500.0,570.0,1.0,1,0.0,Analyst Programmer,1491.0
49.0,1026133.0,Vodafone,142211.0,500.0,570.0,1.0,1,0.0,Billing System Analyst,1491.0
49.0,3853.0,eHealth NSW,567.0,500.0,570.0,1.0,1,0.0,Oracle Applications Lead - Financials,1491.0
30.0,3118.0,"PRICEWATERHOUSE COOPERS, S.C.",749.0,462.0,463.0,1.0,1,0.0,Senior Consultant,593.0
30.0,6236.0,Thomson Reuters Recap,269.0,462.0,463.0,1.0,1,0.0,"Analyst, Deloitte Corporate Finance",593.0
30.0,181090.0,The University of Queensland,10735.0,462.0,463.0,1.0,1,0.0,Treasurer,593.0
38.0,4.0,Pinnacle Project Solutions Pty Ltd,2.0,500.0,562.0,0.0,1,0.0,Managing Director,793.9167
38.0,247381.0,University of Sydney,11949.0,500.0,562.0,0.0,1,0.0,ICT Portfolio Manager,793.9167
38.0,247381.0,University of Sydney,11949.0,500.0,562.0,0.0,1,0.0,Senior ICT Project Manager,793.9167
38.0,247381.0,University of Sydney,11949.0,500.0,562.0,0.0,1,0.0,r/ICT Program Manager - Education ,793.9167
38.0,41743.0,NSW Department of Education,19163.0,500.0,562.0,0.0,1,0.0,ICT Service Relationship Manager,793.9167
38.0,41743.0,NSW Department of Education,19163.0,500.0,562.0,0.0,1,0.0,ICT Relationship Manager,793.9167
38.0,41743.0,NSW Department of Education,19163.0,500.0,562.0,0.0,1,0.0,Regional Technology Project / Portfolio Manager,793.9167
38.0,41743.0,NSW Department of Education,19163.0,500.0,562.0,0.0,1,0.0,Team Leader - Technology Support,793.9167
38.0,41743.0,NSW Department of Education,19163.0,500.0,562.0,0.0,1,0.0,Desktop Support Officer,793.9167
38.0,166837.0,TAFE NSW,7243.0,500.0,562.0,0.0,1,0.0,Computer Systems Officer,793.9167
38.0,166837.0,TAFE NSW,7243.0,500.0,562.0,0.0,1,0.0,Teacher Information Technology,793.9167
38.0,41743.0,NSW Department of Education,19163.0,500.0,562.0,0.0,1,0.0,ICT Program Manager,793.9167
38.0,41743.0,NSW Department of Education,19163.0,500.0,562.0,0.0,1,0.0,Senior ICT Project Manager,793.9167
30.0,3320.0,Invoice2go,104.0,254.0,254.0,0.0,1,0.0,Software Engineer,90.0
30.0,17.0,Talent Generation Pty Ltd,1.0,254.0,254.0,0.0,1,0.0,iPhone Developer,90.0
43.0,6779.0,The Benevolent Society,676.0,500.0,555.0,0.0,1,1.0,Business (Enterprise) Architect,1095.8571
43.0,3423.0,TNT Australia,179.0,500.0,555.0,0.0,1,1.0,Solution Architect,1095.8571
43.0,3423.0,TNT Australia,179.0,500.0,555.0,0.0,1,1.0,Senior Systems Analyst,1095.8571
43.0,3423.0,TNT Australia,179.0,500.0,555.0,0.0,1,1.0,Senior Analyst Programmer,1095.8571
43.0,3423.0,TNT Australia,179.0,500.0,555.0,0.0,1,1.0,Analyst Programmer,1095.8571
43.0,,Hubb Financial Group,,500.0,555.0,0.0,1,1.0,Software Engineer,1095.8571
43.0,60.0,"Veriglif, the worldâs first global consumer data ecosystem ",7.0,500.0,555.0,0.0,1,1.0,Chief Technology Officer,1095.8571
45.0,205942.0,Lendlease,14094.0,500.0,1218.0,0.0,1,0.0,Safety Manager,543.75
45.0,6419.0,McNab,196.0,500.0,1218.0,0.0,1,0.0,Safety Coordinator,543.75
45.0,131327.0,Veolia,36243.0,500.0,1218.0,0.0,1,0.0,Sub Contractor,543.75
45.0,205942.0,Lendlease,14094.0,500.0,1218.0,0.0,1,0.0,Safety Manager,543.75
45.0,205942.0,Lendlease,14094.0,500.0,1218.0,0.0,1,0.0,Senior Safety Advisor,543.75
41.0,2591.0,The Centre for Social Impact,52.0,500.0,721.0,1.0,1,0.0,Research Fellow,660.2
41.0,279605.0,Monash University,14538.0,500.0,721.0,1.0,1,0.0,Lecturer,660.2
41.0,702.0,Impact Investing Australia,7.0,500.0,721.0,1.0,1,0.0,Program Director,660.2
41.0,690.0,Pacific Corporate Group,12.0,500.0,721.0,1.0,1,0.0,Sr Consultant,660.2
41.0,3538.0,Centre for Sustainability Leadership,29.0,500.0,721.0,1.0,1,0.0,Interim Operations Manager,660.2
41.0,14160.0,Truckee Meadows Community College,878.0,500.0,721.0,1.0,1,0.0,Instructor,660.2
41.0,739603.0,Morgan Stanley,77961.0,500.0,721.0,1.0,1,0.0,Financial Advisor,660.2
41.0,2591.0,The Centre for Social Impact,52.0,500.0,721.0,1.0,1,0.0,Adjunct Fellow,660.2
41.0,1551.0,Impact Investment Group,34.0,500.0,721.0,1.0,1,0.0,Chief Impact Officer,660.2
29.0,144.0,Rebel media,31.0,500.0,900.0,0.0,0,0.0,Gold Coast Account Manager,517.3846
29.0,131.0,Industry Pathways,9.0,500.0,900.0,0.0,0,0.0,Human Resources & Finance Manager - Contract,517.3846
29.0,131.0,Industry Pathways,9.0,500.0,900.0,0.0,0,0.0,Finance Manager,517.3846
29.0,1788.0,WFI Insurance,268.0,500.0,900.0,0.0,0,0.0,Area Manager,517.3846
29.0,53687.0,Drake International,1268.0,500.0,900.0,0.0,0,0.0,Business Development Manager / Team Leader,517.3846
29.0,341.0,WIN Television Sales,46.0,500.0,900.0,0.0,0,0.0,Account Executive,517.3846
29.0,1493.0,Russell Mineral Equipment,217.0,500.0,900.0,0.0,0,0.0,Executive Officer to Managing Director - Contract position,517.3846
29.0,2700.0,Drake International - Australia,177.0,500.0,900.0,0.0,0,0.0,Client Relationship Manager,517.3846
29.0,99.0,Executive Elite,3.0,500.0,900.0,0.0,0,0.0,Membership | Sponsorship | Events Coordinator,517.3846
29.0,179.0,Gold Coast North Chamber of Commerce and Industry Inc,6.0,500.0,900.0,0.0,0,0.0,Membership | Sponsorship | Events Coordinator,517.3846
45.0,3384.0,Wiley,201.0,500.0,1707.0,0.0,1,1.0,R&D and Innovation Director,984.75
45.0,3384.0,Wiley,201.0,500.0,1707.0,0.0,1,1.0,Commercial Technology Director,984.75
45.0,688.0,Speedwell,54.0,500.0,1707.0,0.0,1,1.0,Digital Strategy Director,984.75
45.0,20180.0,LEWIS Global Communications,654.0,500.0,1707.0,0.0,1,1.0,Head of Information and Systems,984.75
45.0,,BI WORLDWIDE EMEA,,500.0,1707.0,0.0,1,1.0,Senior Interactive Designer,984.75
45.0,3384.0,Wiley,201.0,500.0,1707.0,0.0,1,1.0,Chief Future Officer,984.75
47.0,534929.0,Jacobs,43616.0,500.0,729.0,0.0,1,0.0,Technical Director - Tunnels,1430.0
47.0,362827.0,CH2M,18165.0,500.0,729.0,0.0,1,0.0,"Regional Practice Leader, Tunnels and Earth Engineering",1430.0
47.0,362827.0,CH2M,18165.0,500.0,729.0,0.0,1,0.0,"Global Technology Leader, Tunnels",1430.0
47.0,362827.0,CH2M,18165.0,500.0,729.0,0.0,1,0.0,Principal Tunnel Engineer,1430.0
47.0,44476.0,"Halcrow, a CH2M Company",1758.0,500.0,729.0,0.0,1,0.0,Principal Tunnel Engineer,1430.0
47.0,279335.0,The University of Manchester,12191.0,500.0,729.0,0.0,1,0.0,Research associate,1430.0
35.0,87.0,VICTORIAN TRADES HALL COUNCIL,24.0,219.0,221.0,1.0,0,0.0,Media and Communications Lead,720.1667
35.0,1923.0,Australian Labor Party,138.0,219.0,221.0,1.0,0,0.0,Member,720.1667
35.0,1923.0,Australian Labor Party,138.0,219.0,221.0,1.0,0,0.0,Volunteer Communications Advisor,720.1667
35.0,263880.0,University of Melbourne,13415.0,219.0,221.0,1.0,0,0.0,Various,720.1667
25.0,18.0,KPA Concrete,9.0,236.0,236.0,0.0,1,0.0,Estimator / Contract Administrator,285.0
25.0,1995.0,Valecha Engineering Limited,417.0,236.0,236.0,0.0,1,0.0,Graduate Engineering Trainee,285.0
56.0,35329.0,Specsavers,11156.0,500.0,3043.0,0.0,1,0.0,Head of Retail - Specsavers Audiology,1455.5
56.0,35329.0,Specsavers,11156.0,500.0,3043.0,0.0,1,0.0,State Development Director (QLD/NT),1455.5
56.0,35329.0,Specsavers,11156.0,500.0,3043.0,0.0,1,0.0,Head of Professional Recruitment Australia/New Zealand,1455.5
56.0,35329.0,Specsavers,11156.0,500.0,3043.0,0.0,1,0.0,State Development Director,1455.5
56.0,6750.0,Boots Opticians,2588.0,500.0,3043.0,0.0,1,0.0,Franchise Network Regional Manager,1455.5
56.0,274.0,Dollond & Aitchison,36.0,500.0,3043.0,0.0,1,0.0,Franchisee (2 stores owner),1455.5
62.0,3257.0,Tabor College,256.0,500.0,1224.0,1.0,1,0.0,Lecturer,2287.8333
62.0,511.0,Tabor College Hoorn,178.0,500.0,1224.0,1.0,1,0.0,Lecturer in New Testament Greek,2287.8333
33.0,95586.0,University of Adelaide,5890.0,352.0,352.0,1.0,1,0.0,Adjunct Lecturer,785.5
33.0,104370.0,The University of Western Australia,5551.0,352.0,352.0,1.0,1,0.0,Research Assistant Professor,785.5
33.0,95586.0,University of Adelaide,5890.0,352.0,352.0,1.0,1,0.0,Principal Supervisor/Lead of Research Team,785.5
33.0,,Tutors SA,,352.0,352.0,1.0,1,0.0,"Tutor (Year 5 -12 classes; UMAT, Mathematics, Biology, Chemistry and General Sciences)",785.5
33.0,95586.0,University of Adelaide,5890.0,352.0,352.0,1.0,1,0.0,Case Based Learning Medical Tutor,785.5
33.0,95586.0,University of Adelaide,5890.0,352.0,352.0,1.0,1,0.0,Physiology Demonstrator and Marker,785.5
33.0,104370.0,The University of Western Australia,5551.0,352.0,352.0,1.0,1,0.0,Honorary Postdoctoral Research Fellow,785.5
33.0,95586.0,University of Adelaide,5890.0,352.0,352.0,1.0,1,0.0,Demonstrator and Marker,785.5
33.0,95586.0,University of Adelaide,5890.0,352.0,352.0,1.0,1,0.0,Adjunct Senior Lecturer,785.5
34.0,205.0,ACETEK Health & Aged Care,31.0,500.0,801.0,0.0,1,0.0,Project Manager,1542.0
34.0,3369.0,Hills Limited,428.0,500.0,801.0,0.0,1,0.0,Project Manager,1542.0
34.0,,Questek Australia,,500.0,801.0,0.0,1,0.0,Project Manager,1542.0
34.0,,Questek Australia,,500.0,801.0,0.0,1,0.0,Service Technician,1542.0
43.0,192638.0,Telstra,36243.0,500.0,1073.0,0.0,1,0.0,Group Manager Solution Consultants,734.25
